"trade_date","ts_code","name","industry","area","pe","float_share","total_share","total_assets","liquid_assets","fixed_assets","reserved","reserved_pershare","eps","bvps","pb","list_date","undp","per_undp","rev_yoy","profit_yoy","gpr","npr","holder_num"
"20250214","302132.SZ","中航成飞","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20250214","603409.SH","汇通控股","汽车配件","安徽","0","0","0","15.39","7.81","5.18","0.24","0","0","0","0","0","5.98","0","40.59","10.22","29.36","15.67","0"
"20250214","301173.SZ","毓恬冠佳","汽车配件","上海","0","0","0","22.73","16.44","2.24","3.1","0","0","0","0","0","4.41","0","-3.39","6.72","18.16","7.1","0"
"20250214","430556.BJ","雅达股份","电器仪表","广东","81.67","1.18","1.61","5.98","4.65","1.01","1.72","1.07","0.11","3.16","3.93","20230317","1.22","0.76","-4.77","-36.07","33.56","8.09","4810"
"20250214","002016.SZ","世荣兆业","区域地产","广东","184.37","8.09","8.09","66.56","43.74","1.55","1.35","0.17","0.03","5.9","1.23","20040708","34.19","4.23","-41.61","-90.2","38.46","5.79","18809"
"20250214","002031.SZ","巨轮智能","汽车配件","广东","2383.12","19.82","21.99","43.6","16.82","14.39","0.4","0.02","0.003","1.11","7.63","20040816","0.69","0.03","64.89","145.2","17.99","0.33","183511"
"20250214","600120.SH","浙江东方","多元金融","浙江","47.89","34.15","34.15","446.76","186.49","6.01","20.47","0.6","0.12","4.57","1.71","19971201","79.97","2.34","-41.44","0.68","3.87","6.05","49201"
"20250214","000856.SZ","冀东装备","专用机械","河北","174.56","2.27","2.27","21.57","18.02","2.2","3.59","1.58","0.05","1.83","6.29","19980813","-1.96","-0.86","-17.24","-41.22","7.81","0.62","30998"
"20250214","605398.SH","新炬网络","软件服务","上海","232.86","1.63","1.63","11.89","11.73","0.03","4.63","2.84","0.15","6.38","7.43","20210121","4.21","2.59","-14.38","-25.17","42.58","6.41","15663"
"20250214","000681.SZ","视觉中国","互联网","江苏","177","6.76","7.01","42.19","6.97","0.01","15.89","2.27","0.12","5","5.5","19970121","18.23","2.6","5.87","-33.33","46.23","14.91","85566"
